DeliveryDate,HourEnding,SettlementPoint,SettlementPointPrice,DSTFlag
12/24/2023,01:00,7RNCHSLR_ALL, 16,N
12/24/2023,01:00,AEEC, 14,N
12/24/2023,01:00,AGUAYO_UNIT1, 15.42,N
12/24/2023,01:00,AJAXWIND_RN, 14.74,N
12/24/2023,01:00,ALGOD_ALL_RN, 14.79,N
12/24/2023,01:00,ALVIN_RN, 15.62,N
12/24/2023,01:00,AMADEUS_ALL, 14.72,N
12/24/2023,01:00,AMISTAD_ALL, 32.76,N
12/24/2023,01:00,AMOCOOIL_CC1, 15.62,N
12/24/2023,01:00,AMOCOOIL_CC2, 15.62,N
12/24/2023,01:00,AMOCO_PUN1, 15.62,N
12/24/2023,01:00,AMOCO_PUN2, 15.62,N
12/24/2023,01:00,AMO_AMOCO_1, 15.62,N
12/24/2023,01:00,AMO_AMOCO_2, 15.62,N
12/24/2023,01:00,AMO_AMOCO_5, 15.62,N
12/24/2023,01:00,AMO_AMOCO_G1, 15.62,N
12/24/2023,01:00,AMO_AMOCO_G2, 15.62,N
12/24/2023,01:00,AMO_AMOCO_G3, 15.62,N
12/24/2023,01:00,AMO_AMOCO_S1, 15.62,N
12/24/2023,01:00,AMO_AMOCO_S2, 15.62,N
12/24/2023,01:00,ANACACHO_ANA, 26.7,N
12/24/2023,01:00,ANCHOR_ALL, 14.92,N
12/24/2023,01:00,ANDMDSLR_ALL, 14.7,N
12/24/2023,01:00,ANG_ALL, 15.59,N
12/24/2023,01:00,ANSON1_ALL, 14.63,N
12/24/2023,01:00,APPALOSA_ALL, 46.64,N
12/24/2023,01:00,AQUI_ALL, 15.23,N
12/24/2023,01:00,ARAGORN_RN, 25.46,N
12/24/2023,01:00,ASTRA_RN, 14.37,N
12/24/2023,01:00,ATK_ATKINSG7, 15.49,N
12/24/2023,01:00,AUSTPL_ALL, 16.12,N
12/24/2023,01:00,AVIAT_ALL, 17.68,N
12/24/2023,01:00,AZURE_RN, 14.74,N
12/24/2023,01:00,AZ_ALL, 15.6,N
12/24/2023,01:00,BAC_RN_ALL, 15.62,N
12/24/2023,01:00,BAFFIN_ALL, 13.52,N
12/24/2023,01:00,BAIRDWND_ALL, 14.83,N
12/24/2023,01:00,BARROW_ALL, 24.72,N
12/24/2023,01:00,BASTEN_CC1, 16.12,N
12/24/2023,01:00,BASTEN_CCU, 16.12,N
12/24/2023,01:00,BATCAVE_RN, 16.67,N
12/24/2023,01:00,BAYC_BESS_RN, 17.62,N
12/24/2023,01:00,BBREEZE_1_2, 12.71,N
12/24/2023,01:00,BCATWD_WD_1, 14.82,N
12/24/2023,01:00,BCH_RN, 15.73,N
12/24/2023,01:00,BCK_RN, 15.63,N
12/24/2023,01:00,BIGSTAR_ALL, 16.1,N
12/24/2023,01:00,BLACKJAK_RN, 14.87,N
12/24/2023,01:00,BLSMT1_5_A_6, 14.66,N
12/24/2023,01:00,BLUEJAY_RN, 15.48,N
